record_type,workload,design_point_id,monthly_tasks,baseline_scenario_id,comparison_scenario_id,baseline_allocated_cash_usd_per_task,comparison_allocated_cash_usd_per_task,comparison_minus_baseline_usd_per_task,lower_cost_scenario,interpolated_break_even_monthly_tasks,interpolation_status
design-point,browser-low-reuse,high-browser-low-reuse,1000.0,copilot-proplus-auto,pi-openai-api-auto,9.99772943668947,11.219648378809971,1.2219189421205012,copilot-proplus-auto,,point-estimate-only
design-point,feature-mixed,high-feature-mixed,1400.0,copilot-proplus-auto,pi-openai-api-auto,6.942244609183479,7.5039630489510145,0.5617184397675352,copilot-proplus-auto,,point-estimate-only
design-point,integration-cold,high-integration-cold,950.0,copilot-proplus-auto,pi-openai-api-auto,11.598945099563096,13.236349581071256,1.6374044815081596,copilot-proplus-auto,,point-estimate-only
design-point,localized-hot,high-localized-hot,3200.0,copilot-proplus-auto,pi-openai-api-auto,0.4557871142400677,0.5056048621198035,0.04981774787973581,copilot-proplus-auto,,point-estimate-only
design-point,long-hot,high-long-hot,720.0,copilot-proplus-auto,pi-openai-api-auto,19.647705224410647,21.48999401843477,1.8422887940241246,copilot-proplus-auto,,point-estimate-only
design-point,feature-cold,low-feature-cold,24.0,copilot-proplus-auto,pi-openai-api-auto,5.871077385655326,7.656536733851769,1.7854593481964427,copilot-proplus-auto,,point-estimate-only
design-point,localized-hot,low-localized-hot,30.0,copilot-proplus-auto,pi-openai-api-auto,1.3188425000000001,0.5115214868321062,-0.807321013167894,pi-openai-api-auto,,point-estimate-only
design-point,long-hot,low-long-hot,16.0,copilot-proplus-auto,pi-openai-api-auto,17.76811101633441,21.497477024997842,3.7293660086634333,copilot-proplus-auto,,point-estimate-only
design-point,feature-mixed,medium-feature-mixed,240.0,copilot-proplus-auto,pi-openai-api-auto,6.85746378334805,7.516779835785757,0.6593160524377071,copilot-proplus-auto,,point-estimate-only
design-point,integration-cold,medium-integration-cold,180.0,copilot-proplus-auto,pi-openai-api-auto,11.377189959079985,13.16363856569275,1.7864486066127654,copilot-proplus-auto,,point-estimate-only
design-point,localized-hot,medium-localized-hot,320.0,copilot-proplus-auto,pi-openai-api-auto,0.3721677263750313,0.509226784179764,0.13705905780473265,copilot-proplus-auto,,point-estimate-only
design-point,long-hot,medium-long-hot,120.0,copilot-proplus-auto,pi-openai-api-auto,19.31501309161365,21.26973197589338,1.9547188842797283,copilot-proplus-auto,,point-estimate-only
interpolation,browser-low-reuse,,,copilot-proplus-auto,pi-openai-api-auto,,,,,,not-bracketed-by-comparable-design-points
interpolation,feature-cold,,,copilot-proplus-auto,pi-openai-api-auto,,,,,,not-bracketed-by-comparable-design-points
interpolation,feature-mixed,,,copilot-proplus-auto,pi-openai-api-auto,,,,,,not-bracketed-by-comparable-design-points
interpolation,integration-cold,,,copilot-proplus-auto,pi-openai-api-auto,,,,,,not-bracketed-by-comparable-design-points
interpolation,localized-hot,low-localized-hot;medium-localized-hot,,copilot-proplus-auto,pi-openai-api-auto,,,,,277.91193822796737,linear-interpolation-model-conditional
interpolation,long-hot,,,copilot-proplus-auto,pi-openai-api-auto,,,,,,not-bracketed-by-comparable-design-points
