study,hypothesis_id,aggregate_status,baseline_scenario_id,comparison_scenario_id,outcome_name,design_point_id,role,point_status,estimate_comparison_minus_baseline,interval_low,interval_high,mcse,threshold_operator,threshold_value,threshold_unit,complete_pairs
controlled-harness,h-pi-copilot-normalized-cost,challenges-under-model,copilot-cli-copilot-route,pi-cli-copilot-route,normalized_cost_per_verified_work,central-ci-browser,primary,challenges,-0.0828084117591012,-0.087289923725539,-0.0783268997926635,0.00228652771264539,le,-0.1,1,200
controlled-harness,h-pi-copilot-normalized-cost,challenges-under-model,copilot-cli-copilot-route,pi-cli-copilot-route,normalized_cost_per_verified_work,central-external-integration,primary,challenges,-0.0929867057187109,-0.0994347239947522,-0.0865386874426696,0.00328986569493238,le,-0.1,1,200
controlled-harness,h-pi-copilot-normalized-cost,challenges-under-model,copilot-cli-copilot-route,pi-cli-copilot-route,normalized_cost_per_verified_work,central-localized-bug,primary,challenges,0.0572800182437936,0.00883067623159578,0.105729360255991,0.0247195062737683,le,-0.1,1,200
controlled-harness,h-pi-copilot-normalized-cost,challenges-under-model,copilot-cli-copilot-route,pi-cli-copilot-route,normalized_cost_per_verified_work,central-long-session,primary,supports,-0.166691829646432,-0.174866192203775,-0.158517467089089,0.00417066977853745,le,-0.1,1,200
controlled-harness,h-pi-copilot-normalized-cost,challenges-under-model,copilot-cli-copilot-route,pi-cli-copilot-route,normalized_cost_per_verified_work,central-multi-file-feature,primary,supports,-2.06970649422233,-2.52480873863403,-1.61460424981063,0.232199289375462,le,-0.1,1,200
controlled-harness,h-pi-copilot-normalized-cost,challenges-under-model,copilot-cli-copilot-route,pi-cli-copilot-route,normalized_cost_per_verified_work,central-parallel-analysis,primary,supports,-2.07706614505932,-2.49378324903457,-1.66034904108407,0.212614674178844,le,-0.1,1,200
controlled-harness,h-pi-copilot-normalized-cost,challenges-under-model,copilot-cli-copilot-route,pi-cli-copilot-route,normalized_cost_per_verified_work,central-repository-refactor,primary,challenges,-0.046790444069657,-0.0507127377451,-0.0428681503942139,0.0020012070152215,le,-0.1,1,200
controlled-harness,h-pi-copilot-normalized-cost,challenges-under-model,copilot-cli-copilot-route,pi-cli-copilot-route,normalized_cost_per_verified_work,central-test-debug,primary,challenges,1.12476808172073,0.918816648466969,1.33071951497448,0.105079192718987,le,-0.1,1,200
controlled-harness,h-pi-copilot-normalized-cost,challenges-under-model,copilot-cli-copilot-route,pi-cli-copilot-route,normalized_cost_per_verified_work,challenge-cold-prefix-churn,challenge,challenges,-0.0593333798431177,-0.0630466989040534,-0.0556200607821821,0.00189458535474419,le,-0.1,1,200
controlled-harness,h-pi-copilot-normalized-cost,challenges-under-model,copilot-cli-copilot-route,pi-cli-copilot-route,normalized_cost_per_verified_work,challenge-copilot-favoring-diverse-tools,challenge,inconclusive,0.0293411020512664,-0.102172467606798,0.16085467170933,0.0670999930077421,le,-0.1,1,200
