study,design_point_id,workload,scenario_id,accepted_task_fraction,provider_cost_usd_per_task,wall_seconds_per_task,pareto_frontier,dominated_by_count,dominated_by_scenarios,dominates_count,dominates_scenarios
controlled-harness,central-ci-browser,central-ci-browser,copilot-cli-copilot-route,0.0,11.512349877795899,2023.1032659576927,False,2,pi-cli-copilot-route;pi-cli-openai-api,0,
controlled-harness,central-ci-browser,central-ci-browser,pi-cli-copilot-route,0.0,11.387317019790798,1961.6038828389992,True,0,,1,copilot-cli-copilot-route
controlled-harness,central-ci-browser,central-ci-browser,pi-cli-openai-api,0.0,11.387317019790798,1961.6038828389992,True,0,,1,copilot-cli-copilot-route
controlled-harness,central-external-integration,central-external-integration,copilot-cli-copilot-route,0.0,13.639569127779763,2185.545557555494,False,2,pi-cli-copilot-route;pi-cli-openai-api,0,
controlled-harness,central-external-integration,central-external-integration,pi-cli-copilot-route,0.0,13.554906273316874,2119.367280193814,True,0,,1,copilot-cli-copilot-route
controlled-harness,central-external-integration,central-external-integration,pi-cli-openai-api,0.0,13.554906273316874,2119.367280193814,True,0,,1,copilot-cli-copilot-route
controlled-harness,central-localized-bug,central-localized-bug,copilot-cli-copilot-route,0.9975,0.44108196632214003,141.88654358645593,True,0,,0,
controlled-harness,central-localized-bug,central-localized-bug,pi-cli-copilot-route,0.95,0.4400081934904689,192.2740504463888,True,0,,0,
controlled-harness,central-localized-bug,central-localized-bug,pi-cli-openai-api,0.95,0.4400081934904689,192.2740504463888,True,0,,0,
controlled-harness,central-long-session,central-long-session,copilot-cli-copilot-route,0.0,24.717253831777384,2882.456161624835,False,2,pi-cli-copilot-route;pi-cli-openai-api,0,
controlled-harness,central-long-session,central-long-session,pi-cli-copilot-route,0.0,24.15076347307373,2787.344760674696,True,0,,1,copilot-cli-copilot-route
controlled-harness,central-long-session,central-long-session,pi-cli-openai-api,0.0,24.15076347307373,2787.344760674696,True,0,,1,copilot-cli-copilot-route
controlled-harness,central-multi-file-feature,central-multi-file-feature,copilot-cli-copilot-route,0.0025,7.239882805585665,1741.9758302709367,False,2,pi-cli-copilot-route;pi-cli-openai-api,0,
controlled-harness,central-multi-file-feature,central-multi-file-feature,pi-cli-copilot-route,0.08625,7.2303762476822415,1634.5861998032829,True,0,,1,copilot-cli-copilot-route
controlled-harness,central-multi-file-feature,central-multi-file-feature,pi-cli-openai-api,0.08625,7.2303762476822415,1634.5861998032829,True,0,,1,copilot-cli-copilot-route
controlled-harness,central-parallel-analysis,central-parallel-analysis,copilot-cli-copilot-route,0.01625,7.247782271117892,1660.6168650207037,True,0,,0,
controlled-harness,central-parallel-analysis,central-parallel-analysis,pi-cli-copilot-route,0.11375,7.438323670984994,1539.7749690427538,True,0,,0,
controlled-harness,central-parallel-analysis,central-parallel-analysis,pi-cli-openai-api,0.11375,7.438323670984994,1539.7749690427538,True,0,,0,
controlled-harness,central-repository-refactor,central-repository-refactor,copilot-cli-copilot-route,0.0,15.766569884362152,2123.5436002933675,True,0,,0,
controlled-harness,central-repository-refactor,central-repository-refactor,pi-cli-copilot-route,0.0,15.895134225814763,2081.133008907502,True,0,,0,
controlled-harness,central-repository-refactor,central-repository-refactor,pi-cli-openai-api,0.0,15.895134225814763,2081.133008907502,True,0,,0,
controlled-harness,central-test-debug,central-test-debug,copilot-cli-copilot-route,0.97,1.304610317465813,245.43334209903452,True,0,,2,pi-cli-copilot-route;pi-cli-openai-api
controlled-harness,central-test-debug,central-test-debug,pi-cli-copilot-route,0.48,1.3511318373999563,775.5685768651925,False,1,copilot-cli-copilot-route,0,
controlled-harness,central-test-debug,central-test-debug,pi-cli-openai-api,0.48,1.3511318373999563,775.5685768651925,False,1,copilot-cli-copilot-route,0,
controlled-harness,challenge-cold-prefix-churn,cold-prefix-churn,copilot-cli-copilot-route,0.0,16.309362754565303,2125.130223614547,False,2,pi-cli-copilot-route;pi-cli-openai-api,0,
controlled-harness,challenge-cold-prefix-churn,cold-prefix-churn,pi-cli-copilot-route,0.0,16.266744472522042,2083.8923063348902,True,0,,1,copilot-cli-copilot-route
controlled-harness,challenge-cold-prefix-churn,cold-prefix-churn,pi-cli-openai-api,0.0,16.266744472522042,2083.8923063348902,True,0,,1,copilot-cli-copilot-route
