trajectory_id,model,strategy_id,source_contrast_id,source_scenario_id,source_role,main_call_count,compaction_count,compaction_positions_json,prompt_sequence_tokens_json,minimum_prompt_tokens,mean_prompt_tokens,maximum_prompt_tokens,provider_cost_per_attempt_usd,onset_tokens,excess_token_call_area,normalized_excess_auc,normalization_formula,source_type
luna-grow_to_800k-o268p617647,luna,grow_to_800k,long-cap-200k-uncached,long-cap-200k-uncached-luna-baseline,baseline,39,0,[],"[40000,60000,80000,100000,120000,140000,160000,180000,200000,220000,240000,260000,280000,300000,320000,340000,360000,380000,400000,420000,440000,460000,480000,500000,520000,540000,560000,580000,600000,620000,640000,660000,680000,700000,720000,740000,760000,780000,800000]",40000,420000,800000,1.0204,268.617647,16369523.911767,4.19731382353,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-grow_to_800k-o1000,luna,grow_to_800k,long-cap-200k-uncached,long-cap-200k-uncached-luna-baseline,baseline,39,0,[],"[40000,60000,80000,100000,120000,140000,160000,180000,200000,220000,240000,260000,280000,300000,320000,340000,360000,380000,400000,420000,440000,460000,480000,500000,520000,540000,560000,580000,600000,620000,640000,660000,680000,700000,720000,740000,760000,780000,800000]",40000,420000,800000,1.0204,1000,16341000,4.19,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-grow_to_800k-o4000,luna,grow_to_800k,long-cap-200k-uncached,long-cap-200k-uncached-luna-baseline,baseline,39,0,[],"[40000,60000,80000,100000,120000,140000,160000,180000,200000,220000,240000,260000,280000,300000,320000,340000,360000,380000,400000,420000,440000,460000,480000,500000,520000,540000,560000,580000,600000,620000,640000,660000,680000,700000,720000,740000,760000,780000,800000]",40000,420000,800000,1.0204,4000,16224000,4.16,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-grow_to_800k-o16000,luna,grow_to_800k,long-cap-200k-uncached,long-cap-200k-uncached-luna-baseline,baseline,39,0,[],"[40000,60000,80000,100000,120000,140000,160000,180000,200000,220000,240000,260000,280000,300000,320000,340000,360000,380000,400000,420000,440000,460000,480000,500000,520000,540000,560000,580000,600000,620000,640000,660000,680000,700000,720000,740000,760000,780000,800000]",40000,420000,800000,1.0204,16000,15756000,4.04,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-grow_to_800k-o32000,luna,grow_to_800k,long-cap-200k-uncached,long-cap-200k-uncached-luna-baseline,baseline,39,0,[],"[40000,60000,80000,100000,120000,140000,160000,180000,200000,220000,240000,260000,280000,300000,320000,340000,360000,380000,400000,420000,440000,460000,480000,500000,520000,540000,560000,580000,600000,620000,640000,660000,680000,700000,720000,740000,760000,780000,800000]",40000,420000,800000,1.0204,32000,15132000,3.88,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-grow_to_800k-o113000,luna,grow_to_800k,long-cap-200k-uncached,long-cap-200k-uncached-luna-baseline,baseline,39,0,[],"[40000,60000,80000,100000,120000,140000,160000,180000,200000,220000,240000,260000,280000,300000,320000,340000,360000,380000,400000,420000,440000,460000,480000,500000,520000,540000,560000,580000,600000,620000,640000,660000,680000,700000,720000,740000,760000,780000,800000]",40000,420000,800000,1.0204,113000,12145000,3.11410256410256,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-grow_to_800k-o200000,luna,grow_to_800k,long-cap-200k-uncached,long-cap-200k-uncached-luna-baseline,baseline,39,0,[],"[40000,60000,80000,100000,120000,140000,160000,180000,200000,220000,240000,260000,280000,300000,320000,340000,360000,380000,400000,420000,440000,460000,480000,500000,520000,540000,560000,580000,600000,620000,640000,660000,680000,700000,720000,740000,760000,780000,800000]",40000,420000,800000,1.0204,200000,9300000,2.38461538461538,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-grow_to_800k-o400000,luna,grow_to_800k,long-cap-200k-uncached,long-cap-200k-uncached-luna-baseline,baseline,39,0,[],"[40000,60000,80000,100000,120000,140000,160000,180000,200000,220000,240000,260000,280000,300000,320000,340000,360000,380000,400000,420000,440000,460000,480000,500000,520000,540000,560000,580000,600000,620000,640000,660000,680000,700000,720000,740000,760000,780000,800000]",40000,420000,800000,1.0204,400000,4200000,1.07692307692308,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-grow_to_800k-o600000,luna,grow_to_800k,long-cap-200k-uncached,long-cap-200k-uncached-luna-baseline,baseline,39,0,[],"[40000,60000,80000,100000,120000,140000,160000,180000,200000,220000,240000,260000,280000,300000,320000,340000,360000,380000,400000,420000,440000,460000,480000,500000,520000,540000,560000,580000,600000,620000,640000,660000,680000,700000,720000,740000,760000,780000,800000]",40000,420000,800000,1.0204,600000,1100000,0.282051282051282,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_uncached-o268p617647,luna,cap_200k_uncached,long-cap-200k-uncached,long-cap-200k-uncached-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.5952,268.617647,4489523.911767,1.15115997737615,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
