contrast_id,model,compactions_per_execution,provider_savings_usd_per_execution,quality_loss_budget_usd_per_execution,quality_loss_budget_usd_per_compaction,failure_loss_usd,break_even_incremental_failure_probability,break_even_incremental_failure_probability_capped,break_even_failure_probability_per_compaction_independent
long-cap-200k-uncached,luna,4,0.4252,0.4252,0.1063,10.0,0.04252,0.04252,0.01063
long-cap-200k-uncached,luna,4,0.4252,0.4252,0.1063,50.0,0.008504,0.008504,0.002126
long-cap-200k-uncached,luna,4,0.4252,0.4252,0.1063,100.0,0.004252,0.004252,0.001063
long-cap-200k-uncached,luna,4,0.4252,0.4252,0.1063,500.0,0.0008504,0.0008504,0.0002126
long-cap-200k-uncached,luna,4,0.4252,0.4252,0.1063,1000.0,0.0004252,0.0004252,0.0001063
long-cap-200k-uncached,terra,4,3.952,3.952,0.988,10.0,0.3952,0.3952,0.0988
long-cap-200k-uncached,terra,4,3.952,3.952,0.988,50.0,0.07904,0.07904,0.01976
long-cap-200k-uncached,terra,4,3.952,3.952,0.988,100.0,0.03952,0.03952,0.00988
long-cap-200k-uncached,terra,4,3.952,3.952,0.988,500.0,0.007904,0.007904,0.001976
long-cap-200k-uncached,terra,4,3.952,3.952,0.988,1000.0,0.003952,0.003952,0.000988
long-cap-200k-uncached,sol,4,8.17,8.17,2.0425,10.0,0.817,0.817,0.20425
long-cap-200k-uncached,sol,4,8.17,8.17,2.0425,50.0,0.1634,0.1634,0.04085
long-cap-200k-uncached,sol,4,8.17,8.17,2.0425,100.0,0.0817,0.0817,0.020425
long-cap-200k-uncached,sol,4,8.17,8.17,2.0425,500.0,0.01634,0.01634,0.004085
long-cap-200k-uncached,sol,4,8.17,8.17,2.0425,1000.0,0.00817,0.00817,0.0020425
long-cap-pricing-threshold-uncached,luna,4,0.4252,0.4252,0.1063,10.0,0.04252,0.04252,0.01063
long-cap-pricing-threshold-uncached,luna,4,0.4252,0.4252,0.1063,50.0,0.008504,0.008504,0.002126
long-cap-pricing-threshold-uncached,luna,4,0.4252,0.4252,0.1063,100.0,0.004252,0.004252,0.001063
long-cap-pricing-threshold-uncached,luna,4,0.4252,0.4252,0.1063,500.0,0.0008504,0.0008504,0.0002126
long-cap-pricing-threshold-uncached,luna,4,0.4252,0.4252,0.1063,1000.0,0.0004252,0.0004252,0.0001063
long-cap-pricing-threshold-uncached,terra,3,4.062,4.062,1.354,10.0,0.4062,0.4062,0.1354
long-cap-pricing-threshold-uncached,terra,3,4.062,4.062,1.354,50.0,0.08124,0.08124,0.02708
long-cap-pricing-threshold-uncached,terra,3,4.062,4.062,1.354,100.0,0.04062,0.04062,0.01354
long-cap-pricing-threshold-uncached,terra,3,4.062,4.062,1.354,500.0,0.008124,0.008124,0.002708
long-cap-pricing-threshold-uncached,terra,3,4.062,4.062,1.354,1000.0,0.004062,0.004062,0.001354
long-cap-pricing-threshold-uncached,sol,3,8.31,8.31,2.77,10.0,0.831,0.831,0.277
long-cap-pricing-threshold-uncached,sol,3,8.31,8.31,2.77,50.0,0.1662,0.1662,0.0554
long-cap-pricing-threshold-uncached,sol,3,8.31,8.31,2.77,100.0,0.0831,0.0831,0.0277
long-cap-pricing-threshold-uncached,sol,3,8.31,8.31,2.77,500.0,0.01662,0.01662,0.00554
long-cap-pricing-threshold-uncached,sol,3,8.31,8.31,2.77,1000.0,0.00831,0.00831,0.00277
