contrast_id,study_family,model,volume_executions,baseline_provider_cost_usd,comparison_provider_cost_usd,cost_delta_usd,savings_usd,baseline_ai_credits,comparison_ai_credits,ai_credit_delta
stable-system-1-call,system_prompt,luna,1000,13.1,13.35,0.25,-0.25,1310.0,1335.0,25.0
stable-system-1-call,system_prompt,luna,1000000,13100.0,13350.0,250.0,-250.0,1310000.0,1335000.0,25000.0
stable-system-1-call,system_prompt,terra,1000,131.0,133.5,2.5,-2.5,13100.0,13350.0,250.0
stable-system-1-call,system_prompt,terra,1000000,131000.0,133500.0,2500.0,-2500.0,13100000.0,13350000.0,250000.0
stable-system-1-call,system_prompt,sol,1000,260.0,265.0,5.0,-5.0,26000.0,26500.0,500.0
stable-system-1-call,system_prompt,sol,1000000,260000.0,265000.0,5000.0,-5000.0,26000000.0,26500000.0,500000.0
stable-system-10-calls,system_prompt,luna,1000,27.5,27.93,0.43,-0.43,2750.0,2793.0,43.0
stable-system-10-calls,system_prompt,luna,1000000,27500.0,27930.0,430.0,-430.0,2750000.0,2793000.0,43000.0
stable-system-10-calls,system_prompt,terra,1000,275.0,279.3,4.3,-4.3,27500.0,27930.0,430.000000000001
stable-system-10-calls,system_prompt,terra,1000000,275000.0,279300.0,4300.0,-4300.0,27500000.0,27930000.0,430000.0
stable-system-10-calls,system_prompt,sol,1000,530.0,538.6,8.6,-8.6,53000.0,53860.0,860.000000000002
stable-system-10-calls,system_prompt,sol,1000000,530000.0,538600.0,8600.0,-8600.0,53000000.0,53860000.0,860000.0
stable-system-50-calls,system_prompt,luna,1000,91.5,92.73,1.23,-1.23,9150.0,9273.0,123.0
stable-system-50-calls,system_prompt,luna,1000000,91500.0,92730.0,1230.0,-1230.0,9150000.0,9273000.0,123000.0
stable-system-50-calls,system_prompt,terra,1000,915.0,927.3,12.3,-12.3,91500.0,92730.0,1229.999999999995
stable-system-50-calls,system_prompt,terra,1000000,915000.0,927300.0,12300.0,-12300.0,91500000.0,92730000.0,1230000.0
stable-system-50-calls,system_prompt,sol,1000,1730.0,1754.6,24.6,-24.6,173000.0,175460.0,2459.999999999991
stable-system-50-calls,system_prompt,sol,1000000,1730000.0,1754600.0,24600.0,-24600.0,173000000.0,175460000.0,2460000.0
dynamic-system-10-calls,system_prompt,luna,1000,33.78,35.78,2.0,-2.0,3378.0,3578.0,200.0
dynamic-system-10-calls,system_prompt,luna,1000000,33780.0,35780.0,2000.0,-2000.0,3378000.0,3578000.0,200000.0
dynamic-system-10-calls,system_prompt,terra,1000,337.8,357.8,20.0,-20.0,33780.0,35780.0,2000.0
dynamic-system-10-calls,system_prompt,terra,1000000,337800.0,357800.0,20000.0,-20000.0,33780000.0,35780000.0,2000000.0
dynamic-system-10-calls,system_prompt,sol,1000,655.6,695.6,40.0,-40.0,65560.0,69560.0,4000.0
dynamic-system-10-calls,system_prompt,sol,1000000,655600.0,695600.0,40000.0,-40000.0,65560000.0,69560000.0,4000000.0
system-threshold-cold,threshold_discontinuity,luna,1000,51.075,102.05,50.975,-50.975,5107.5,10205.0,5097.499999999999
system-threshold-cold,threshold_discontinuity,luna,1000000,51075.0,102050.0,50975.0,-50975.0,5107500.0,10205000.0,5097500.0
