contrast_id,study_family,scenario_id,role,model,changed_parameter,changed_value,provider_cost_usd,ai_credits,call_count,main_call_count,tool_calls,compactions,long_context_calls,max_input_tokens,input_uncached_tokens,cache_read_tokens,cache_write_tokens,output_tokens,input_uncached_cost_usd,cache_read_cost_usd,cache_write_cost_usd,output_cost_usd,discarded_context_tokens,tool_result_tokens_generated,tool_result_tokens_injected,parameters_json,interpretation
stable-system-1-call,system_prompt,stable-system-1-call-luna-baseline,baseline,luna,system_prompt_tokens,4000,0.0131,1.31,1,1,0,0,0,50000,0,0,50000,500,0.0,0.0,0.0125,0.0006,0,0,0,"{""model_calls"":1,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""stable"",""system_prompt_tokens"":4000}","Marginal cost of 1,000 stable system tokens across 1 model call(s); the prefix is written once and then read."
stable-system-1-call,system_prompt,stable-system-1-call-luna-comparison,comparison,luna,system_prompt_tokens,5000,0.01335,1.335,1,1,0,0,0,51000,0,0,51000,500,0.0,0.0,0.01275,0.0006,0,0,0,"{""model_calls"":1,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""stable"",""system_prompt_tokens"":5000}","Marginal cost of 1,000 stable system tokens across 1 model call(s); the prefix is written once and then read."
stable-system-1-call,system_prompt,stable-system-1-call-terra-baseline,baseline,terra,system_prompt_tokens,4000,0.131,13.1,1,1,0,0,0,50000,0,0,50000,500,0.0,0.0,0.125,0.006,0,0,0,"{""model_calls"":1,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""stable"",""system_prompt_tokens"":4000}","Marginal cost of 1,000 stable system tokens across 1 model call(s); the prefix is written once and then read."
stable-system-1-call,system_prompt,stable-system-1-call-terra-comparison,comparison,terra,system_prompt_tokens,5000,0.1335,13.35,1,1,0,0,0,51000,0,0,51000,500,0.0,0.0,0.1275,0.006,0,0,0,"{""model_calls"":1,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""stable"",""system_prompt_tokens"":5000}","Marginal cost of 1,000 stable system tokens across 1 model call(s); the prefix is written once and then read."
stable-system-1-call,system_prompt,stable-system-1-call-sol-baseline,baseline,sol,system_prompt_tokens,4000,0.26,26.0,1,1,0,0,0,50000,0,0,50000,500,0.0,0.0,0.25,0.01,0,0,0,"{""model_calls"":1,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""stable"",""system_prompt_tokens"":4000}","Marginal cost of 1,000 stable system tokens across 1 model call(s); the prefix is written once and then read."
stable-system-1-call,system_prompt,stable-system-1-call-sol-comparison,comparison,sol,system_prompt_tokens,5000,0.265,26.5,1,1,0,0,0,51000,0,0,51000,500,0.0,0.0,0.255,0.01,0,0,0,"{""model_calls"":1,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""stable"",""system_prompt_tokens"":5000}","Marginal cost of 1,000 stable system tokens across 1 model call(s); the prefix is written once and then read."
stable-system-10-calls,system_prompt,stable-system-10-calls-luna-baseline,baseline,luna,system_prompt_tokens,4000,0.0275,2.75,10,10,0,0,0,50000,0,450000,50000,5000,0.0,0.009,0.0125,0.006,0,0,0,"{""model_calls"":10,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""stable"",""system_prompt_tokens"":4000}","Marginal cost of 1,000 stable system tokens across 10 model call(s); the prefix is written once and then read."
stable-system-10-calls,system_prompt,stable-system-10-calls-luna-comparison,comparison,luna,system_prompt_tokens,5000,0.02793,2.793,10,10,0,0,0,51000,0,459000,51000,5000,0.0,0.00918,0.01275,0.006,0,0,0,"{""model_calls"":10,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""stable"",""system_prompt_tokens"":5000}","Marginal cost of 1,000 stable system tokens across 10 model call(s); the prefix is written once and then read."
stable-system-10-calls,system_prompt,stable-system-10-calls-terra-baseline,baseline,terra,system_prompt_tokens,4000,0.275,27.5,10,10,0,0,0,50000,0,450000,50000,5000,0.0,0.09,0.125,0.06,0,0,0,"{""model_calls"":10,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""stable"",""system_prompt_tokens"":4000}","Marginal cost of 1,000 stable system tokens across 10 model call(s); the prefix is written once and then read."
stable-system-10-calls,system_prompt,stable-system-10-calls-terra-comparison,comparison,terra,system_prompt_tokens,5000,0.2793,27.93,10,10,0,0,0,51000,0,459000,51000,5000,0.0,0.0918,0.1275,0.06,0,0,0,"{""model_calls"":10,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""stable"",""system_prompt_tokens"":5000}","Marginal cost of 1,000 stable system tokens across 10 model call(s); the prefix is written once and then read."
stable-system-10-calls,system_prompt,stable-system-10-calls-sol-baseline,baseline,sol,system_prompt_tokens,4000,0.53,53.0,10,10,0,0,0,50000,0,450000,50000,5000,0.0,0.18,0.25,0.1,0,0,0,"{""model_calls"":10,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""stable"",""system_prompt_tokens"":4000}","Marginal cost of 1,000 stable system tokens across 10 model call(s); the prefix is written once and then read."
stable-system-10-calls,system_prompt,stable-system-10-calls-sol-comparison,comparison,sol,system_prompt_tokens,5000,0.5386,53.86,10,10,0,0,0,51000,0,459000,51000,5000,0.0,0.1836,0.255,0.1,0,0,0,"{""model_calls"":10,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""stable"",""system_prompt_tokens"":5000}","Marginal cost of 1,000 stable system tokens across 10 model call(s); the prefix is written once and then read."
stable-system-50-calls,system_prompt,stable-system-50-calls-luna-baseline,baseline,luna,system_prompt_tokens,4000,0.0915,9.15,50,50,0,0,0,50000,0,2450000,50000,25000,0.0,0.049,0.0125,0.03,0,0,0,"{""model_calls"":50,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""stable"",""system_prompt_tokens"":4000}","Marginal cost of 1,000 stable system tokens across 50 model call(s); the prefix is written once and then read."
stable-system-50-calls,system_prompt,stable-system-50-calls-luna-comparison,comparison,luna,system_prompt_tokens,5000,0.09273,9.273,50,50,0,0,0,51000,0,2499000,51000,25000,0.0,0.04998,0.01275,0.03,0,0,0,"{""model_calls"":50,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""stable"",""system_prompt_tokens"":5000}","Marginal cost of 1,000 stable system tokens across 50 model call(s); the prefix is written once and then read."
stable-system-50-calls,system_prompt,stable-system-50-calls-terra-baseline,baseline,terra,system_prompt_tokens,4000,0.915,91.5,50,50,0,0,0,50000,0,2450000,50000,25000,0.0,0.49,0.125,0.3,0,0,0,"{""model_calls"":50,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""stable"",""system_prompt_tokens"":4000}","Marginal cost of 1,000 stable system tokens across 50 model call(s); the prefix is written once and then read."
stable-system-50-calls,system_prompt,stable-system-50-calls-terra-comparison,comparison,terra,system_prompt_tokens,5000,0.9273,92.73,50,50,0,0,0,51000,0,2499000,51000,25000,0.0,0.4998,0.1275,0.3,0,0,0,"{""model_calls"":50,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""stable"",""system_prompt_tokens"":5000}","Marginal cost of 1,000 stable system tokens across 50 model call(s); the prefix is written once and then read."
