study,design_point_id,workload,scenario_id,tasks_per_run,billing_period_tasks,efficiency_rank_within_design_point,accepted_task_fraction,external_quality_score,policy_violation_fraction,provider_cost_usd_per_task,marginal_cash_cost_usd_per_task,allocated_cash_cost_usd_per_task,economic_loss_usd_per_task,normalized_provider_cost,normalized_cost_per_verified_work,wall_seconds_per_task,normalized_wall_time,human_minutes_per_task,uncached_input_tokens_per_task,cache_read_tokens_per_task,cache_write_tokens_per_task,output_tokens_per_task,tool_schema_tokens_per_task,tool_result_tokens_per_task,model_calls_per_task,tool_calls_per_task,retries_per_task,compactions_per_task,cache_hit_fraction,budget_exhausted_fraction
controlled-harness,central-ci-browser,central-ci-browser,copilot-cli-copilot-route,4,300,3,0.0,0.061236362919507764,0.00375,11.512349877795899,11.429459044462565,11.559459044462567,150.5326813284639,11.512349877795899,12.042614506277111,2023.1032659576927,4.214798470745193,23.122954306353446,4250874.075943679,98013.6875,119202.8125,13245.569116768034,81690.7375,167843.87349339522,25.38125,75.22125,35.65,0.66125,0.02197143062319756,1.0
controlled-harness,central-ci-browser,central-ci-browser,pi-cli-copilot-route,4,300,1,0.0,0.332699829769165,0.00375,11.387317019790798,11.264046186457465,11.394046186457468,149.49757618147513,11.387317019790798,11.95980609451801,1961.6038828389992,4.086674755914582,23.055654306353446,4278232.017734893,65937.2125,79925.4875,12855.569116768034,55815.2075,167408.57925279773,25.345,55.03125,15.45625,0.62875,0.014927408993873386,1.0
controlled-harness,central-ci-browser,central-ci-browser,pi-cli-openai-api,4,300,2,0.0,0.332699829769165,0.00375,11.387317019790798,11.497379519790798,11.497379519790798,149.60090951480845,11.387317019790798,11.968072761184676,1961.6038828389992,4.086674755914582,23.055654306353446,4278232.017734893,65937.2125,79925.4875,12855.569116768034,55815.2075,167408.57925279773,25.345,55.03125,15.45625,0.62875,0.014927408993873386,0.0
controlled-harness,central-external-integration,central-external-integration,copilot-cli-copilot-route,4,300,3,0.0,0.008310635957788562,0.00125,13.639569127779763,13.582628294446431,13.712628294446434,188.01265329447153,13.639569127779763,15.041012263557723,2185.545557555494,5.203679898941653,24.820470353720953,4875658.009798674,116869.525,177961.95,17088.145587660194,145453.275,143188.07914188955,28.62375,88.19625,56.95,0.8575,0.02259754297996597,1.0
controlled-harness,central-external-integration,central-external-integration,pi-cli-copilot-route,4,300,1,0.0,0.20628573480801443,0.00125,13.554906273316874,13.426410439983542,13.556410439983543,186.85031947298765,13.554906273316874,14.948025557839012,2119.367280193814,5.046112571890034,24.701212020387615,4988260.543137662,79697.3375,121125.95,15393.145587660196,101330.88,127403.25886015472,28.48875,52.41875,21.17875,0.71625,0.015357782213944293,1.0
controlled-harness,central-external-integration,central-external-integration,pi-cli-openai-api,4,300,2,0.0,0.20628573480801443,0.00125,13.554906273316874,13.659743773316874,13.659743773316874,186.95365280632097,13.554906273316874,14.956292224505678,2119.367280193814,5.046112571890034,24.701212020387615,4988260.543137662,79697.3375,121125.95,15393.145587660196,101330.88,127403.25886015472,28.48875,52.41875,21.17875,0.71625,0.015357782213944293,0.0
controlled-harness,central-localized-bug,central-localized-bug,copilot-cli-copilot-route,4,300,1,0.9975,0.8097874772471947,0.00125,0.44108196632214003,0.22619363298880668,0.3561936329888067,3.769329819397058,0.44108196632214003,0.03069082738655922,141.88654358645593,1.5765171509606213,1.5725777337692164,191549.51784114962,38237.4,11481.075,1802.730261653399,6534.375,5335.497479507816,7.7175,9.2225,1.385,0.0,0.15896627848219474,0.595
controlled-harness,central-localized-bug,central-localized-bug,pi-cli-copilot-route,4,300,2,0.95,0.7438434838724981,0.00125,0.4400081934904689,0.23037736015713547,0.3603773601571355,6.545965362655835,0.4400081934904689,0.08797084563035285,192.2740504463888,2.1363783382932087,2.4363402337692164,197264.63892531404,25084.2,7531.725,1802.730261653399,3920.625,7128.454350499136,7.7175,11.85125,4.01375,0.0,0.10949934748456532,0.595
controlled-harness,central-localized-bug,central-localized-bug,pi-cli-openai-api,4,300,3,0.95,0.7438434838724981,0.00125,0.4400081934904689,0.46371069349046884,0.46371069349046884,6.649298695989168,0.4400081934904689,0.08889395674146394,192.2740504463888,2.1363783382932087,2.4363402337692164,197264.63892531404,25084.2,7531.725,1802.730261653399,3920.625,7128.454350499136,7.7175,11.85125,4.01375,0.0,0.10949934748456532,0.0
controlled-harness,central-long-session,central-long-session,copilot-cli-copilot-route,4,300,3,0.0,0.0038087145634151725,0.0,24.717253831777384,24.71979049844405,24.84979049844405,245.14612127474712,24.717253831777384,19.61168970197977,2882.456161624835,4.003411335590049,28.843752503995088,8685351.468372028,282754.5,156947.0,41830.48504973744,195259.62,204066.76742943097,48.025,117.935,69.06375,2.32125,0.03099914154783859,1.0
controlled-harness,central-long-session,central-long-session,pi-cli-copilot-route,4,300,1,0.0,0.14646789214977016,0.0,24.15076347307373,24.059510139740397,24.189510139740396,243.06247340416675,24.15076347307373,19.44499787233334,2787.344760674696,3.871312167603744,28.687435837328422,8660947.635221774,193859.475,106304.1,39835.48504973744,137819.765,178360.7514936532,47.855,71.04,22.165,2.155,0.021646146312021334,1.0
controlled-harness,central-long-session,central-long-session,pi-cli-openai-api,4,300,2,0.0,0.14646789214977016,0.0,24.15076347307373,24.29284347307373,24.29284347307373,243.16580673750005,24.15076347307373,19.453264539000003,2787.344760674696,3.871312167603744,28.687435837328422,8660947.635221774,193859.475,106304.1,39835.48504973744,137819.765,178360.7514936532,47.855,71.04,22.165,2.155,0.021646146312021334,0.0
controlled-harness,central-multi-file-feature,central-multi-file-feature,copilot-cli-copilot-route,4,300,3,0.0025,0.4533302939791175,0.0,7.239882805585665,7.080491972252332,7.210491972252332,125.6992743515803,7.239882805585665,10.009521995525501,1741.9758302709367,6.451762334336803,21.506056333960842,3468179.776226999,116508.375,76626.0,6535.107680491687,57609.685,54799.531091801226,24.29625,36.97125,11.49,0.0,0.03194093658684752,1.0
controlled-harness,central-multi-file-feature,central-multi-file-feature,pi-cli-copilot-route,4,300,1,0.08625,0.5988538532627244,0.0,7.2303762476822415,7.060760414348909,7.19076041434891,116.35560477501325,7.2303762476822415,7.93981550130317,1634.5861998032829,6.054022962234382,19.981514667294174,3497269.6254616356,79110.625,52030.0,6535.107680491687,41149.775,57368.85286807562,24.29625,31.85875,6.3775,0.0,0.021887504316511968,1.0
controlled-harness,central-multi-file-feature,central-multi-file-feature,pi-cli-openai-api,4,300,2,0.08625,0.5988538532627244,0.0,7.2303762476822415,7.2940937476822425,7.2940937476822425,116.45893810834657,7.2303762476822415,7.946541812414281,1634.5861998032829,6.054022962234382,19.981514667294174,3497269.6254616356,79110.625,52030.0,6535.107680491687,41149.775,57368.85286807562,24.29625,31.85875,6.3775,0.0,0.021887504316511968,0.0
